,Name of bill,Bill no.,Stage,Last activity,Select Committee
8,Autonomous Sanctions Bill  Bill - government,259-1,1,06 September 2020,
9,New Zealand Public Health and Disability Amendment Bill  Bill - government,214-2,RA,11 August 2020,Health Committee
10,Residential Tenancies Amendment Bill  Bill - government,218-2,RA,11 August 2020,Social Services and Community Committee
11,Smokefree Environments and Regulated Products (Vaping) Amendment Bill  Bill - government,222-2,RA,11 August 2020,Health Committee
12,Fuel Industry Bill  Bill - government,301-2,RA,11 August 2020,Finance and Expenditure Committee
13,Equal Pay Amendment Bill  Bill - government,103-2,RA,06 August 2020,Education and Workforce Committee
14,Support Workers (Pay Equity) Settlements Amendment Bill  Bill - government,137-2,RA,06 August 2020,Health Committee
15,Dairy Industry Restructuring Amendment Bill (No 3)  Bill - government,166-2,RA,06 August 2020,Primary Production Committee
16,Rates Rebate (Statutory Declarations) Amendment Bill  Bill - government,178-2,RA,06 August 2020,Social Services and Community Committee
17,"Te Ture Whenua Maori (Succession, Dispute Resolution, and Related Matters) Amendment Bill  Bill - government",179-2,RA,06 August 2020,Māori Affairs Committee
18,Public Service Legislation Bill  Bill - government,189-1,3,06 August 2020,Governance and Administration Committee
19,International Crimes and International Criminal Court Amendment Bill  Bill - government,190-1,RA,06 August 2020,"Foreign Affairs, Defence and Trade Committee"
20,Land Transport (NZTA) Legislation Amendment Bill  Bill - government,192-2,RA,06 August 2020,Transport and Infrastructure Committee
21,Crimes (Definition of Female Genital Mutilation) Amendment Bill  Bill - member's,194-2,RA,06 August 2020,Health Committee
22,Urban Development Bill  Bill - government,197-2,RA,06 August 2020,Environment Committee
23,"Films, Videos, and Publications Classification (Commercial Video on-Demand) Amendment Bill  Bill - government",201-2,RA,06 August 2020,Governance and Administration Committee
24,Taumata Arowai—the Water Services Regulator Bill  Bill - government,202-2,RA,06 August 2020,Health Committee
25,Infrastructure Funding and Financing Bill  Bill - government,204-2,RA,06 August 2020,Transport and Infrastructure Committee
26,Veterans' Support Amendment Bill (No 2)  Bill - government,232-2,RA,06 August 2020,Social Services and Community Committee
27,Appropriation (2020/21 Estimates) Bill  Bill - government,254-1,RA,06 August 2020,
28,Forests (Regulation of Log Traders and Forestry Advisers) Amendment Bill  Bill - government,250-2,RA,06 August 2020,Environment Committee
29,Public Service Bill  Bill - government,189-2A,RA,06 August 2020,
30,Public Finance Amendment Bill  Bill - government,189-2B,RA,06 August 2020,
31,COVID-19 Public Health Response Amendment Bill  Bill - government,316-1,RA,06 August 2020,
32,COVID-19 Response (Further Management Measures) Legislation Bill (No 2)  Bill - government,318-1,RA,06 August 2020,
33,Imprest Supply (Second for 2020/21) Bill  Bill - government,321-1,RA,06 August 2020,
34,Education and Training Bill  Bill - government,193-2,RA,03 August 2020,Education and Workforce Committee
35,Local Government (Customer Focus) Amendment Bill  Bill - member's,287-1,W,29 July 2020,
36,New Zealand Māori Arts and Crafts Institute Vesting Bill  Bill - government,111-2,RA,24 July 2020,Māori Affairs Committee
37,New Zealand Superannuation and Veteran’s Pension Legislation Amendment Bill  Bill - government,182-2,RA,24 July 2020,Social Services and Community Committee
38,COVID-19 Recovery (Fast-track Consenting) Bill  Bill - government,277-2,RA,09 July 2020,Environment Committee
39,Auckland Regional Amenities Funding Amendment Bill  Bill - private,176-2,RA,06 July 2020,Governance and Administration Committee
40,Electoral (Registration of Sentenced Prisoners) Amendment Bill (No 2)  Bill - government,302-1,RA,02 July 2020,
41,Privacy Bill  Bill - government,34-3,RA,30 June 2020,Justice Committee
42,Public Finance (Wellbeing) Amendment Bill  Bill - government,173-2,RA,30 June 2020,Finance and Expenditure Committee
43,Resource Management Amendment Bill  Bill - government,180-2,RA,30 June 2020,Environment Committee
44,Mental Health and Wellbeing Commission Bill  Bill - government,188-2,RA,30 June 2020,Health Committee
45,Asia-Pacific Economic Cooperation (APEC 2021) Bill  Bill - government,187-2,2,30 June 2020,"Foreign Affairs, Defence and Trade Committee"
46,Land Transport (Rail) Legislation Bill  Bill - government,191-2,RA,30 June 2020,Transport and Infrastructure Committee
47,Racing Industry Bill  Bill - government,198-2,RA,30 June 2020,Transport and Infrastructure Committee
48,Greater Christchurch Regeneration Amendment Bill  Bill - government,220-2,RA,29 June 2020,Governance and Administration Committee
49,Electoral (Registration of Sentenced Prisoners) Amendment Bill  Bill - government,223-1,RA,29 June 2020,Justice Committee
0,Appropriation (2019/20 Supplementary Estimates) Bill  Bill - government,252-1,RA,29 June 2020,
1,Imprest Supply (First for 2020/21) Bill  Bill - government,282-1,RA,29 June 2020,
2,Arms Legislation Bill  Bill - government,177-3,RA,25 June 2020,Finance and Expenditure Committee
3,Climate Change Response (Emissions Trading Reform) Amendment Bill  Bill - government,186-3,RA,23 June 2020,Environment Committee
4,High-power Laser Pointer Offences and Penalties Bill  Bill - member's,96-1,W,17 June 2020,
5,Crimes (Coward Punch Causing Death) Amendment Bill  Bill - member's,97-1,W,17 June 2020,
6,Shark Cage Diving (Permitting and Safety) Bill  Bill - member's,98-1,W,17 June 2020,
7,Overseas Investment (Urgent Measures) Amendment Bill  Bill - government,261-2,RA,02 June 2020,Finance and Expenditure Committee
8,Social Security (COVID-19 Income Relief Payment to be Income) Amendment Bill  Bill - government,267-1,RA,02 June 2020,
9,Smoke-free Environments (Prohibiting Smoking in Motor Vehicles Carrying Children) Amendment Bill  Bill - government,153-2,RA,29 May 2020,Health Committee
10,Overseas Investment Amendment Bill (No 2)  Bill - government,233-1,1,15 May 2020,
11,Immigration (COVID-19 Response) Amendment Bill  Bill - government,243-1,RA,15 May 2020,Epidemic Response Committee
12,COVID-19 Response (Further Management Measures) Legislation Bill  Bill - government,244-1,RA,15 May 2020,Epidemic Response Committee
13,COVID-19 Response (Requirements for Entities—Modifications and Exemptions) Bill  Bill - government,,RA,15 May 2020,
14,Customs and Excise (Tobacco) Amendment Bill  Bill - government,251-1,RA,15 May 2020,
15,Family Court (Supporting Families in Court) Legislation Bill  Bill - government,255-1,RA,15 May 2020,
16,Remuneration Authority (COVID-19 Measures) Amendment Bill  Bill - government,266-1,RA,15 May 2020,
17,Appropriation (2018/19 Confirmation and Validation) Bill  Bill - government,227-1,RA,13 May 2020,
18,COVID-19 Public Health Response Bill  Bill - government,246-1,RA,13 May 2020,
19,COVID-19 Response (Taxation and Other Regulatory Urgent Measures) Bill  Bill - government,240-1,RA,06 May 2020,
20,Imprest Supply (Third for 2019/20) Bill  Bill - government,235-1,RA,25 March 2020,
21,COVID-19 Response (Taxation and Social Assistance Urgent Measures) Bill  Bill - government,237-1,RA,25 March 2020,
22,COVID-19 Response (Urgent Management Measures) Legislation Bill  Bill - government,239-1,RA,25 March 2020,
23,"Taxation (KiwiSaver, Student Loans, and Remedial Matters) Bill  Bill - government",158-3,RA,23 March 2020,Finance and Expenditure Committee
24,Abortion Legislation Bill  Bill - government,164-3,RA,23 March 2020,Abortion Legislation Committee
25,Election Access Fund Bill  Bill - member's,27-2,RA,17 March 2020,Governance and Administration Committee
26,Broadcasting (New Zealand on Air and Te Māngai Pāho Reporting Requirements) Amendment Bill  Bill - member's,89-1,W,11 March 2020,
27,Ombudsmen (Protection of Name) Amendment Bill  Bill - government,133-2,RA,11 March 2020,Governance and Administration Committee
28,Electoral Amendment Bill  Bill - government,162-2,RA,11 March 2020,Justice Committee
29,Education (Vocational Education and Training Reform) Amendment Bill  Bill - government,170-3,RA,24 February 2020,Education and Workforce Committee
30,Rates Rebate (Retirement Village Residents) Amendment Bill  Bill - member's,132-2,RA,27 January 2020,Local Government and Environment Committee
31,Te Pire kia Unuhia te Hara kai Runga i a Rua Kēnana / Rua Kēnana Pardon Bill  Bill - government,157-1,RA,23 December 2019,Māori Affairs Committee
32,Credit Contracts Legislation Amendment Bill  Bill - government,131-3,RA,19 December 2019,Finance and Expenditure Committee
33,Maritime Transport (Offshore Installations) Amendment Bill  Bill - government,154-3,RA,19 December 2019,Transport and Infrastructure Committee
34,Subordinate Legislation Confirmation Bill (No 4)  Bill - government,165-1,RA,19 December 2019,Regulations Review Committee
35,Remuneration Authority (Members of Parliament Remuneration) Amendment Bill (No 2)  Bill - government,169-1,RA,19 December 2019,Education and Workforce Committee
36,Education (Pastoral Care) Amendment Bill  Bill - government,184-2,RA,19 December 2019,Education and Workforce Committee
37,Terrorism Suppression (Control Orders) Bill  Bill - government,183-3,RA,19 December 2019,"Foreign Affairs, Defence and Trade Committee"
38,Social Security (Exemption for Ex Gratia and Compensation Payments) Amendment Bill  Bill - member's,211-1,1,19 December 2019,
39,Dog Control (Category 1 Offences) Amendment Bill  Bill - member's,57-2,RA,16 December 2019,Primary Production Committee
40,Farm Debt Mediation Bill (No 2)  Bill - government,155-3,RA,16 December 2019,Primary Production Committee
41,National Animal Identification and Tracing Amendment Bill (No 2)  Bill - government,160-3,RA,16 December 2019,Primary Production Committee
42,Venture Capital Fund Bill  Bill - government,167-3,RA,16 December 2019,Finance and Expenditure Committee
43,New Zealand Superannuation and Retirement Income Amendment Bill  Bill - government,167-3A,RA,16 December 2019,
44,Broadcasting (Games of National Significance) Amendment Bill (No 2)  Bill - member's,86-1,1,11 December 2019,
45,Electoral (Entrenchment of Māori Seats) Amendment Bill  Bill - member's,56-1,W,10 December 2019,Māori Affairs Committee
46,Referendums Framework Bill  Bill - government,161-2,RA,09 December 2019,Justice Committee
47,Electoral Amendment Bill (No 2)  Bill - government,195-1,RA,09 December 2019,
48,End of Life Choice Bill  Bill - member's,269-3,RA,27 November 2019,Justice Committee
49,Companies (Clarification of Dividend Rules in Companies) Amendment Bill  Bill - member's,52-2,RA,27 November 2019,Primary Production Committee
0,Criminal Cases Review Commission Bill  Bill - government,106-3,RA,27 November 2019,Justice Committee
1,Organ Donors and Related Matters Bill  Bill - government,117-2,RA,27 November 2019,Health Committee
2,Parliamentary Agencies Delegations Legislation Bill  Bill - government,163-2,RA,27 November 2019,Governance and Administration Committee
3,Land Transport (Wheel Clamping) Amendment Bill  Bill - government,123-2,RA,25 November 2019,Transport and Infrastructure Committee
4,Regulatory Systems (Economic Development) Amendment Bill (No 2)  Bill - government,100-3,RA,13 November 2019,"Economic Development, Science and Innovation Committee"
5,Regulatory Systems (Housing) Amendment Bill (No 2)  Bill - government,102-3,RA,13 November 2019,Social Services and Community Committee
6,Regulatory Systems (Workforce) Amendment Bill (No 2)  Bill - government,101-2,RA,13 November 2019,Education and Workforce Committee
7,Climate Change Response (Zero Carbon) Amendment Bill  Bill - government,136-3,RA,13 November 2019,Environment Committee
8,Te Pire Haeata ki Parihaka / Parihaka Reconciliation Bill  Bill - government,298-2,RA,31 October 2019,Māori Affairs Committee
9,Legislation Bill  Bill - government,275-3,RA,29 October 2019,Justice Committee
10,Corrections Amendment Bill  Bill - government,35-2,RA,29 October 2019,Justice Committee
11,Legislation (Repeals and Amendments) Bill  Bill - government,275-3A,RA,29 October 2019,
12,Statutes Amendment Bill  Bill - government,83-3,RA,23 October 2019,Governance and Administration Committee
13,Local Government Act 2002 Amendment Bill (No 2)  Bill - government,144-3,RA,21 October 2019,Local Government and Environment Committee
14,Conservation (Indigenous Freshwater Fish) Amendment Bill  Bill - government,87-3,RA,21 October 2019,Environment Committee
15,Partnership Law Bill  Bill - government,143-1,RA,21 October 2019,Justice Committee
16,Education (School Donations) Amendment Bill  Bill - government,147-3,RA,21 October 2019,Education and Workforce Committee
17,New Zealand Infrastructure Commission/Te Waihanga Bill  Bill - government,130-2,RA,26 September 2019,Finance and Expenditure Committee
